3
980 2
0 980
0.137167200132818 0.068583600066409
1 0 0 0 1 0 0 0 1 
T T T 
0.6533952956367864 0.2776534331824764 0.8153326012191721 0.08373307920822422
0.5022278178260327 0.2343057105799321 0.19452335415515 0.08369176074218043
0.0692834126387941 0.1810799963804605 0.3615728814720328 0.08364020800993201
0.07252785043340618 0.04598795580605296 0.2008037532702085 0.08358248929121243
0.3896411415706247 0.3471326835392018 0.1167517237990609 0.08351040445968376
0.1439321501474084 0.8112715137977936 0.9832898416338101 0.08349902598980403
0.7600452591862407 0.9852095244558114 0.1541537266415304 0.08349489414319965
0.9389052868930516 0.6300953683801513 0.1107245545015721 0.08342153797425426
0.2766641480532315 0.5922737824823142 0.10844028548064 0.08341270217920801
0.1645780019470641 0.5615992752001372 0.2559416167548508 0.08330794397606933
0.3820484249670518 0.6678929257774741 0.07361688260724826 0.08329491276754786
0.5043474449679658 0.5188265991345092 0.312858253551065 0.08322619698017356
0.5253124506155061 0.651755449001863 0.7219749401471324 0.08313688552664819
0.3342148617083995 0.434245678038924 0.6607998666362918 0.08308342578827466
0.6032583689143637 0.4853152148429032 0.3193779314803005 0.08302519853458834
0.200814864700078 0.5390076751157563 0.545888974740065 0.08301045102055428
0.5009146374236468 0.8981126781999909 0.9250374341944697 0.08269795628352179
0.7236492620946281 0.62075006940031 0.09266415392434846 0.08268829411915463
0.8394597226166125 0.224999228193435 0.6816639682793822 0.0826414453353481
0.5411702593022716 0.6496336151882195 0.5871293927504377 0.08263928406173966
0.3936814168688649 0.8404783573005338 0.8828061728299025 0.08260940763244648
0.8772510565040459 0.3920435408939312 0.4691798038879471 0.08254692139841413
0.9839382205112828 0.02733730742931616 0.6439259912760855 0.08254628572970577
0.6835713847709323 0.2788317368359149 0.1421040509930152 0.0825333180880551
0.3614128291960799 0.4111632088105589 0.7696405775925113 0.08251253172129155
0.7495504697167317 0.3683673756531713 0.5184012656506172 0.08229443378745135
0.496856675795851 0.7929334441511267 0.8800851097604441 0.08224256322084872
0.2035999861458411 0.04543928524027359 0.02859810319566473 0.08222285749088938
0.6142881832692434 0.6911613249864813 0.734222985885569 0.08221065265168878
0.8413581963921933 0.4375167573334012 0.7802280110287043 0.08216202399549881
0.40079066131644 0.9659659313872174 0.2526902306667566 0.08208332820940314
0.1940787061635288 0.114981654061911 0.5183846770246106 0.08202071484162914
0.1650454548685896 0.4769166397124644 0.5011064005471211 0.08201391318644964
0.05919199530441637 0.598261800489633 0.748642275936975 0.08191875358080732
0.04473356937819216 0.9253368020060119 0.04576347052835702 0.08189574237356451
0.0001573925797797219 0.7926454812724266 0.7629622556032838 0.08184940212472464
0.04644966218105932 0.7189835510293036 0.2298084341645407 0.08179740442438034
0.179202705787448 0.3513230436844306 0.2394871552351485 0.08172341258672659
0.5900726965307601 0.6112139250632104 0.1512901370151941 0.08170116418193384
0.1308043409166577 0.9813616665941997 0.1758470257020291 0.08166340546065691
0.8844730254845765 0.09236298550238738 0.5494885049534175 0.08164713234172272
0.4971824600069591 0.4149458444584184 0.5657123376126773 0.08159329120212416
0.7394031563669738 0.8463266950294654 0.5083487223626564 0.0815751110770649
0.1423739499413441 0.1300389523173878 0.8856364532329927 0.08155782088819738
0.08639509671417167 0.8669974591691778 0.6983444505054982 0.08148929580143557
0.826682811963822 0.7713996723815935 0.9636238522014775 0.08147105210950545
0.9937770319476178 0.8655474581860356 0.07342758402252635 0.08141377835888174
0.9180963632052147 0.3112076705166116 0.8255462984451603 0.08140284485709785
0.8658334638613464 0.3441510025689352 0.7108043420108098 0.08134461760341156
0.6124072228086009 0.4356996444919793 0.1739222178590537 0.08124507188368155
0.808392364204808 0.866696295746486 0.2083590258247107 0.08116485049268579
0.8067316574365783 0.5754223362400837 0.9325810906668122 0.08087721040215042
0.1046781903393353 0.3559787049805364 0.876409724540346 0.0808426300244153
0.6208542118706037 0.09224178211427174 0.2201937256660849 0.08059293935576936
0.1791587364659926 0.7497815373966352 0.233903515240687 0.08051882038437393
0.3012351362164227 0.3198866388983088 0.655536141893433 0.08047426000791749
0.8055874132014071 0.3466531887501636 0.7655223467032942 0.08041596918736038
0.1403342891414106 0.9477731110745675 0.6143922935111615 0.0804090403984392
0.02043495443873688 0.5228074048496631 0.5488739318210052 0.08040522638618898
0.09098908841976591 0.3924872825357877 0.2540734698009477 0.0803860927580672
0.1616668299085456 0.5870944301556577 0.8527365056968269 0.08035532639258232
0.1284382050522493 0.05413832933198548 0.8311736375138804 0.08022011965831295
0.6608577627111696 0.7427437433173274 0.7912786939538078 0.08021764055035031
0.557649426469393 0.7733400971197308 0.5518677455782652 0.08017981826220259
0.04886948464860692 0.4917916127491678 0.7262283286499792 0.08016322730891423
0.5626682512399864 0.7457320733568336 0.06562965293336971 0.08016182883775581
0.9116719404526127 0.2148022114302135 0.5238173249091371 0.08014345801208407
0.5999932223748826 0.8560794561386857 0.6495522608933855 0.08010118604297778
0.8121105133286259 0.5153726593309549 0.7192454994833174 0.08003164388628256
0.9717111039520723 0.9233332812610833 0.9969290844892384 0.080006598539173
0.4792554305171199 0.3064307831657163 0.5876426129184962 0.07994449370636564
0.5485355347520553 0.2440317601750996 0.5632050602286186 0.07994214173214471
0.3468441967796702 0.6528858362517957 0.637782952743113 0.07992675854940226
0.8678063937741999 0.1668694699953767 0.2677953164495979 0.07978309742131164
