3
1000
1000
4.308869e-02
10 01
T T
2.154435e-02 2.154435e-02 1.000000 0.025712 0.878561
7.383421e-01 7.042168e-03 7.042168e-03 1.000000 0.888078 0.938787
3.580380e-01 7.033191e-03 7.033191e-03 1.000000 0.674995 0.886301
9.658176e-01 7.027785e-03 7.027785e-03 1.000000 0.165696 0.114071
9.800343e-01 7.014062e-03 7.014062e-03 1.000000 0.022531 0.928274
9.605767e-01 6.976844e-03 6.976844e-03 1.000000 0.108413 0.994303
5.435904e-01 6.975845e-03 6.975845e-03 1.000000 0.252735 0.555431
2.910064e-01 6.969599e-03 6.969599e-03 1.000000 0.082855 0.116536
2.512365e-01 6.964441e-03 6.964441e-03 1.000000 0.490418 0.750509
1.339748e-01 6.962485e-03 6.962485e-03 1.000000 0.700635 0.740801
8.945399e-01 6.946573e-03 6.946573e-03 1.000000 0.807388 0.469635
2.936432e-02 6.944846e-03 6.944846e-03 1.000000 0.395928 0.991210
6.274387e-01 6.938347e-03 6.938347e-03 1.000000 0.436894 0.866172
3.275274e-01 6.899122e-03 6.899122e-03 1.000000 0.301406 0.736478
1.405429e-01 6.894471e-03 6.894471e-03 1.000000 0.885641 0.807740
6.913000e-01 6.888985e-03 6.888985e-03 1.000000 0.625023 0.727123
5.783305e-01 6.865003e-03 6.865003e-03 1.000000 0.621876 0.809460
2.127477e-01 6.858487e-03 6.858487e-03 1.000000 0.377310 0.430285
5.245967e-01 6.853275e-03 6.853275e-03 1.000000 0.706783 0.238641
6.461156e-02 6.819877e-03 6.819877e-03 1.000000 0.852628 0.172676
7.135614e-01 6.803730e-03 6.803730e-03 1.000000 0.044560 0.280093
6.251571e-01 6.793265e-03 6.793265e-03 1.000000 0.938688 0.885435
5.849780e-01 6.786931e-03 6.786931e-03 1.000000 0.837006 0.116287
9.229814e-01 6.782886e-03 6.782886e-03 1.000000 0.840493 0.670739
3.597369e-02 6.782529e-03 6.782529e-03 1.000000 0.180726 0.098367
6.687254e-01 6.762730e-03 6.762730e-03 1.000000 0.816552 0.951414
6.932568e-01 6.751885e-03 6.751885e-03 1.000000 0.381004 0.175352
8.313277e-01 6.746776e-03 6.746776e-03 1.000000 0.782499 0.203000
6.111301e-01 6.743110e-03 6.743110e-03 1.000000 0.727108 0.018103
4.215195e-01 6.739104e-03 6.739104e-03 1.000000 0.997183 0.587820
4.819668e-01 6.734897e-03 6.734897e-03 1.000000 0.514921 0.932989
9.786316e-01 6.715112e-03 6.715112e-03 1.000000 0.297137 0.104990
9.885149e-01 6.708326e-03 6.708326e-03 1.000000 0.244022 0.541965
1.221817e-01 6.689779e-03 6.689779e-03 1.000000 0.769237 0.982173
5.587455e-01 6.672762e-03 6.672762e-03 1.000000 0.792214 0.392560
3.800946e-01 6.643950e-03 6.643950e-03 1.000000 0.305535 0.988124
2.617219e-01 6.635866e-03 6.635866e-03 1.000000 0.022781 0.922084
3.761088e-01 6.630056e-03 6.630056e-03 1.000000 0.258614 0.755032
8.232616e-01 6.624831e-03 6.624831e-03 1.000000 0.087189 0.210655
7.938268e-01 6.622908e-03 6.622908e-03 1.000000 0.538703 0.334663
8.515610e-01 6.608036e-03 6.608036e-03 1.000000 0.427636 0.558836
1.824089e-01 6.605855e-03 6.605855e-03 1.000000 0.052799 0.562569
1.186262e-01 6.589780e-03 6.589780e-03 1.000000 0.893028 0.669650
5.992751e-03 6.584939e-03 6.584939e-03 1.000000 0.606320 0.230423
7.864495e-01 6.583002e-03 6.583002e-03 1.000000 0.477490 0.732391
2.767214e-01 6.560512e-03 6.560512e-03 1.000000 0.552845 0.388120
6.020716e-01 6.552907e-03 6.552907e-03 1.000000 0.077540 0.797053
8.592195e-01 6.542899e-03 6.542899e-03 1.000000 0.686712 0.196109
2.395676e-01 6.538636e-03 6.538636e-03 1.000000 0.018098 0.531381
9.673978e-01 6.523608e-03 6.523608e-03 1.000000 0.120669 0.602384
4.574276e-01 6.518354e-03 6.518354e-03 1.000000 0.003679 0.417020
2.451951e-01 6.514868e-03 6.514868e-03 1.000000 0.163690 0.990138
8.086977e-01 6.487457e-03 6.487457e-03 1.000000 0.063122 0.116615
7.723044e-02 6.486520e-03 6.486520e-03 1.000000 0.421251 0.934884
9.054488e-01 6.476044e-03 6.476044e-03 1.000000 0.965209 0.160979
5.092774e-01 6.461692e-03 6.461692e-03 1.000000 0.275540 0.801275
1.843573e-01 6.453519e-03 6.453519e-03 1.000000 0.413006 0.264974
